Epoch,Train Loss,Train Accuracy,Train Time (s),Test Loss,Test Accuracy,Inference Time (s)
1,1.4791581420337452,46.132,32.90458559989929,,,
2,1.1382182231339653,59.302,35.0320611000061,,,
3,0.9957673212756282,64.24,35.36224341392517,,,
4,0.8825041631908368,68.506,35.226773500442505,,,
5,0.7843568259492859,71.944,35.73156428337097,1.0667557420244642,64.44,3.662259578704834
6,0.6218601759056301,77.976,33.91195869445801,,,
7,0.49129552513246644,82.34,33.60247826576233,,,
8,0.37823073446864974,86.5,33.90053701400757,,,
9,0.2872708515666635,89.824,33.909823179244995,,,
10,0.23247450184258048,91.832,33.845139026641846,1.3867281531072726,63.76,3.1076571941375732
11,0.19163407088088258,93.344,33.88042879104614,,,
12,0.15648105959681904,94.612,33.85063195228577,,,
13,0.14958634124616224,94.712,33.90329074859619,,,
14,0.1319451314001761,95.378,33.3591673374176,,,
15,0.1266873743208816,95.58,33.826186418533325,1.6688691666171809,63.6,3.6305007934570312
16,0.11258710523867203,96.144,33.9182288646698,,,
17,0.11570906289317229,95.968,33.4527530670166,,,
18,0.10586303696060158,96.214,33.83218955993652,,,
19,0.09621724528689271,96.674,33.73575520515442,,,
20,0.09650917154858293,96.614,32.59030294418335,1.8017943945659953,62.69,2.5727109909057617
21,0.0921480274334064,96.706,24.329023838043213,,,
22,0.09021291706611013,96.89,24.322861194610596,,,
23,0.08434365353906703,97.072,24.349873781204224,,,
24,0.08625389144474836,97.0,24.328656911849976,,,
25,0.07630693920425918,97.42,24.345107078552246,1.8878824657695308,63.81,2.5826709270477295
26,0.0759533991968102,97.36,24.356765747070312,,,
27,0.07262149059762725,97.538,24.346226453781128,,,
28,0.08052055107410569,97.276,24.32904314994812,,,
29,0.06886114893407297,97.56,24.37026882171631,,,
30,0.06330493702213792,97.822,24.296139240264893,2.05288223172449,63.75,2.5654091835021973
