Epoch,Train Loss,Train Accuracy,Train Time (s),Test Loss,Test Accuracy,Inference Time (s)
1,1.5291670136287083,44.472,36.211708068847656,,,
2,1.1800903931755544,57.612,34.726311922073364,,,
3,1.0479548770143552,62.564,35.70400142669678,,,
4,0.9512699184667729,66.136,35.946505308151245,,,
5,0.8676481284677525,68.944,35.44418263435364,1.069140901231462,63.89,3.8907928466796875
6,0.6932353432221181,75.336,33.971113204956055,,,
7,0.5557485912614466,80.29,33.85829949378967,,,
8,0.4292412337649356,84.744,33.40450167655945,,,
9,0.3296833542721046,88.22,33.832459449768066,,,
10,0.25006646096058516,91.248,33.9311466217041,1.4218834422196551,63.58,4.038081407546997
11,0.20497851519633437,92.786,33.31652808189392,,,
12,0.17737877851737963,93.796,33.89052605628967,,,
13,0.15234506121405478,94.608,33.93212580680847,,,
14,0.13442709350534487,95.34,33.50248885154724,,,
15,0.13101802016739422,95.288,33.84915781021118,1.6254918203232394,63.47,4.0342981815338135
16,0.11108218579638816,96.066,33.88534116744995,,,
17,0.11051038288346984,96.152,33.93080449104309,,,
18,0.10955602232643101,96.17,25.249236345291138,,,
19,0.10144827927908172,96.498,24.122939348220825,,,
20,0.09777570428336253,96.584,24.083046436309814,1.7851024061251597,64.59,2.5360257625579834
21,0.09279067385667826,96.74,24.096662282943726,,,
22,0.08921537673889238,96.962,24.103243589401245,,,
23,0.08720911094916466,96.946,24.117382526397705,,,
24,0.08131617042081207,97.178,24.150691032409668,,,
25,0.08233556430667753,97.194,24.161213636398315,1.8852775662567964,64.11,2.545994997024536
26,0.071132371208066,97.53,24.128249883651733,,,
27,0.08476548885409732,97.07,24.1086106300354,,,
28,0.07003837542059353,97.598,24.129360675811768,,,
29,0.07052117473829318,97.586,24.132954359054565,,,
30,0.0753785201688976,97.35,24.132591724395752,1.9062221080634245,63.71,2.544782876968384
